period,ratio,title
2023-05-28,7.31854,BTS
2023-05-29,7.38745,BTS
2023-05-30,7.23795,BTS
2023-05-31,9.25104,BTS
2023-06-01,8.16121,BTS
2023-06-02,7.5778,BTS
2023-06-03,8.2079,BTS
2023-06-04,7.91878,BTS
2023-06-05,7.49385,BTS
2023-06-06,7.17801,BTS
2023-06-07,7.37308,BTS
2023-06-08,7.12055,BTS
2023-06-09,9.2012,BTS
2023-06-10,8.72599,BTS
2023-06-11,9.11949,BTS
2023-06-12,9.35811,BTS
2023-06-13,13.24129,BTS
2023-06-14,9.4699,BTS
2023-06-15,8.74283,BTS
2023-06-16,14.47703,BTS
2023-06-17,29.68539,BTS
2023-06-18,12.81547,BTS
2023-06-19,9.56395,BTS
2023-06-20,7.89588,BTS
2023-06-21,7.53987,BTS
2023-06-22,7.16477,BTS
2023-06-23,7.11381,BTS
2023-06-24,7.33268,BTS
2023-06-25,7.54166,BTS
2023-06-26,6.9596,BTS
2023-06-27,6.51694,BTS
2023-06-28,6.40941,BTS
2023-06-29,6.51043,BTS
2023-06-30,7.11853,BTS
2023-01-01,7.45771,LESSERAFIM
2023-01-02,6.37687,LESSERAFIM
2023-01-03,7.89184,LESSERAFIM
2023-01-04,6.49225,LESSERAFIM
2023-01-05,7.00876,LESSERAFIM
2023-01-06,6.77194,LESSERAFIM
2023-01-07,8.68446,LESSERAFIM
2023-01-08,8.80949,LESSERAFIM
2023-01-09,6.93962,LESSERAFIM
2023-01-10,7.32123,LESSERAFIM
2023-01-11,6.70325,LESSERAFIM
2023-01-12,6.39078,LESSERAFIM
2023-01-13,6.1901,LESSERAFIM
2023-01-14,6.54993,LESSERAFIM
2023-01-15,6.50145,LESSERAFIM
2023-01-16,5.9021,LESSERAFIM
2023-01-17,6.64354,LESSERAFIM
2023-01-18,7.32123,LESSERAFIM
2023-01-19,6.37956,LESSERAFIM
2023-01-20,6.0305,LESSERAFIM
2023-01-21,6.31401,LESSERAFIM
2023-01-22,6.39258,LESSERAFIM
2023-01-23,6.26395,LESSERAFIM
2023-01-24,7.26713,LESSERAFIM
2023-01-25,6.71515,LESSERAFIM
2023-01-26,6.2231,LESSERAFIM
2023-01-27,6.08842,LESSERAFIM
2023-01-28,6.71649,LESSERAFIM
2023-01-29,6.80269,LESSERAFIM
2023-01-30,5.92343,LESSERAFIM
2023-01-31,6.05632,LESSERAFIM
2023-02-01,5.54519,LESSERAFIM
2023-02-02,5.2298,LESSERAFIM
2023-02-03,5.70681,LESSERAFIM
2023-02-04,6.03364,LESSERAFIM
2023-02-05,5.70681,LESSERAFIM
2023-02-06,4.86952,LESSERAFIM
2023-02-07,4.87558,LESSERAFIM
2023-02-08,4.90207,LESSERAFIM
2023-02-09,5.19837,LESSERAFIM
2023-02-10,8.32755,LESSERAFIM
2023-02-11,6.95825,LESSERAFIM
2023-02-12,5.93892,LESSERAFIM
2023-02-13,5.52005,LESSERAFIM
2023-02-14,5.27919,LESSERAFIM
2023-02-15,5.23945,LESSERAFIM
2023-02-16,5.41409,LESSERAFIM
2023-02-17,5.80603,LESSERAFIM
2023-02-18,5.69873,LESSERAFIM
2023-02-19,6.0415,LESSERAFIM
2023-02-20,5.20803,LESSERAFIM
2023-02-21,5.0289,LESSERAFIM
2023-02-22,4.97659,LESSERAFIM
2023-02-23,4.68657,LESSERAFIM
2023-02-24,4.64796,LESSERAFIM
2023-02-25,4.52181,LESSERAFIM
2023-02-26,4.3631,LESSERAFIM
2023-02-27,3.92224,LESSERAFIM
2023-02-28,4.15861,LESSERAFIM
2023-03-01,3.9898,LESSERAFIM
2023-03-02,2.88629,LESSERAFIM
2023-03-03,3.85579,LESSERAFIM
2023-03-04,3.79518,LESSERAFIM
2023-03-05,4.35794,LESSERAFIM
2023-03-06,3.36352,LESSERAFIM
2023-03-07,3.1487,LESSERAFIM
2023-03-08,3.35319,LESSERAFIM
2023-03-09,3.06609,LESSERAFIM
2023-03-10,3.00638,LESSERAFIM
2023-03-11,3.42682,LESSERAFIM
2023-03-12,3.58261,LESSERAFIM
2023-03-13,2.94667,LESSERAFIM
2023-03-14,3.03309,LESSERAFIM
2023-03-15,2.96957,LESSERAFIM
2023-03-16,3.30628,LESSERAFIM
2023-03-17,3.28608,LESSERAFIM
2023-03-18,4.54515,LESSERAFIM
2023-03-19,4.8464,LESSERAFIM
2023-03-20,3.91371,LESSERAFIM
2023-03-21,3.36172,LESSERAFIM
2023-03-22,3.22704,LESSERAFIM
2023-03-23,3.15745,LESSERAFIM
2023-03-24,3.47957,LESSERAFIM
2023-03-25,3.8311,LESSERAFIM
2023-03-26,4.02258,LESSERAFIM
2023-03-27,3.67105,LESSERAFIM
2023-03-28,3.62054,LESSERAFIM
2023-03-29,3.43737,LESSERAFIM
2023-03-30,3.40684,LESSERAFIM
2023-03-31,3.47059,LESSERAFIM
2023-04-01,3.97229,LESSERAFIM
2023-04-02,4.21203,LESSERAFIM
2023-04-03,3.99631,LESSERAFIM
2023-04-04,3.49012,LESSERAFIM
2023-04-05,3.72358,LESSERAFIM
2023-04-06,3.56667,LESSERAFIM
2023-04-07,4.2484,LESSERAFIM
2023-04-08,4.27736,LESSERAFIM
2023-04-09,4.92721,LESSERAFIM
2023-04-10,4.54156,LESSERAFIM
2023-04-11,4.64617,LESSERAFIM
2023-04-12,4.39431,LESSERAFIM
2023-04-13,4.36266,LESSERAFIM
2023-04-14,4.52675,LESSERAFIM
2023-04-15,4.66659,LESSERAFIM
2023-04-16,4.53707,LESSERAFIM
2023-04-17,4.13302,LESSERAFIM
2023-04-18,4.2154,LESSERAFIM
2023-04-19,3.86455,LESSERAFIM
2023-04-20,4.60217,LESSERAFIM
2023-04-21,3.79047,LESSERAFIM
2023-04-22,3.95658,LESSERAFIM
2023-04-23,4.3952,LESSERAFIM
2023-04-24,4.76536,LESSERAFIM
2023-04-25,4.63113,LESSERAFIM
2023-04-26,5.41971,LESSERAFIM
2023-04-27,4.73753,LESSERAFIM
2023-04-28,5.08299,LESSERAFIM
2023-04-29,19.96116,LESSERAFIM
2023-04-30,14.65189,LESSERAFIM
2023-05-01,19.77305,LESSERAFIM
2023-05-02,15.21689,LESSERAFIM
2023-05-03,11.91734,LESSERAFIM
2023-05-04,11.62216,LESSERAFIM
2023-05-05,15.46808,LESSERAFIM
2023-05-06,14.84337,LESSERAFIM
2023-05-07,15.128,LESSERAFIM
2023-05-08,11.12719,LESSERAFIM
2023-05-09,10.17946,LESSERAFIM
2023-05-10,10.21268,LESSERAFIM
2023-05-11,9.62164,LESSERAFIM
2023-05-12,11.9023,LESSERAFIM
2023-05-13,11.56133,LESSERAFIM
2023-05-14,10.84009,LESSERAFIM
2023-05-15,8.83374,LESSERAFIM
2023-05-16,7.8979,LESSERAFIM
2023-05-17,7.42494,LESSERAFIM
2023-05-18,7.77983,LESSERAFIM
2023-05-19,8.44472,LESSERAFIM
2023-05-20,8.06581,LESSERAFIM
2023-05-21,7.85413,LESSERAFIM
2023-05-22,6.52883,LESSERAFIM
2023-05-23,6.06889,LESSERAFIM
2023-05-24,6.13892,LESSERAFIM
2023-05-25,5.87898,LESSERAFIM
2023-05-26,6.91762,LESSERAFIM
2023-05-27,8.61959,LESSERAFIM
2023-05-28,7.72416,LESSERAFIM
2023-05-29,6.81077,LESSERAFIM
2023-05-30,5.63363,LESSERAFIM
2023-05-31,5.42711,LESSERAFIM
2023-06-01,5.316,LESSERAFIM
2023-06-02,5.87112,LESSERAFIM
2023-06-03,6.36834,LESSERAFIM
2023-06-04,6.23455,LESSERAFIM
2023-06-05,5.66034,LESSERAFIM
2023-06-06,6.1699,LESSERAFIM
2023-06-07,5.88437,LESSERAFIM
2023-06-08,5.33755,LESSERAFIM
2023-06-09,5.69761,LESSERAFIM
2023-06-10,6.74186,LESSERAFIM
2023-06-11,6.76521,LESSERAFIM
2023-06-12,5.7957,LESSERAFIM
2023-06-13,5.69424,LESSERAFIM
2023-06-14,5.7526,LESSERAFIM
2023-06-15,5.57392,LESSERAFIM
2023-06-16,5.52835,LESSERAFIM
2023-06-17,6.05497,LESSERAFIM
2023-06-18,6.10705,LESSERAFIM
2023-06-19,5.283,LESSERAFIM
2023-06-20,5.10454,LESSERAFIM
2023-06-21,4.95437,LESSERAFIM
2023-06-22,4.95572,LESSERAFIM
2023-06-23,5.22464,LESSERAFIM
2023-06-24,6.02601,LESSERAFIM
2023-06-25,5.91939,LESSERAFIM
2023-06-26,5.16134,LESSERAFIM
2023-06-27,4.84483,LESSERAFIM
2023-06-28,5.35012,LESSERAFIM
2023-06-29,5.01386,LESSERAFIM
2023-06-30,6.60022,LESSERAFIM
2023-01-01,5.19456,SEVENTEEN
2023-01-02,4.01203,SEVENTEEN
2023-01-03,3.86567,SEVENTEEN
2023-01-04,3.70629,SEVENTEEN
2023-01-05,4.24391,SEVENTEEN
2023-01-06,5.52903,SEVENTEEN
2023-01-07,7.49452,SEVENTEEN
2023-01-08,6.33938,SEVENTEEN
2023-01-09,4.9299,SEVENTEEN
2023-01-10,4.75234,SEVENTEEN
2023-01-11,4.70902,SEVENTEEN
2023-01-12,5.71467,SEVENTEEN
2023-01-13,5.21364,SEVENTEEN
2023-01-14,5.37436,SEVENTEEN
2023-01-15,5.52139,SEVENTEEN
2023-01-16,5.66461,SEVENTEEN
2023-01-17,4.86211,SEVENTEEN
2023-01-18,5.03541,SEVENTEEN
2023-01-19,4.78804,SEVENTEEN
2023-01-20,4.60374,SEVENTEEN
2023-01-21,4.42551,SEVENTEEN
2023-01-22,4.49352,SEVENTEEN
2023-01-23,5.47246,SEVENTEEN
2023-01-24,4.36288,SEVENTEEN
2023-01-25,4.45738,SEVENTEEN
2023-01-26,4.70565,SEVENTEEN
2023-01-27,4.41159,SEVENTEEN
