DATE,Open,High,Low,Close,Volume,Change,MACD,Signal,PSAR,upper,middle,lower,SlowK,SlowD,ROC,OBV,FI,keyword,view_log_like_sum,view_log_like_avg,count,trend,DAY,SENTIMENT,EVENT
2023-04-04,56200.0,57500.0,55600.0,57100.0,313690.0,0.0232974910394265,713.4838276298324,766.9707807007587,52762.11371279974,60023.60734943347,56075.0,52126.39265056653,76.96078431372557,77.81763111748775,3.62976406533575,3831182.0,407797000.0,55.07913,1012282.9065573472,253070.7266393368,4.0,17.094589206626107,화,150.180100048,
2023-04-05,57000.0,57400.0,56200.0,56600.0,199665.0,-0.0087565674255691,672.4205503722333,748.0607346350537,52975.62916428776,59345.37262824141,55890.0,52434.62737175859,74.01960784313734,75.8169934640524,3.4734917733089565,3631517.0,-99832500.0,46.35646,0.0,0.0,0.0,3.8363606566259474,수,85.651617936,85.651617936
2023-04-06,56600.0,59400.0,56300.0,57800.0,661967.0,0.0212014134275617,728.3120505222978,744.1109978125025,53180.60399771624,59237.21778983826,55860.0,52482.78221016174,75.5971479500892,75.5258467023174,2.300884955752202,4293484.0,794360400.0,46.44583,0.0,0.0,0.0,3.838286687279441,목,355.782241358,76.489229248
2023-04-07,58900.0,61500.0,57600.0,61500.0,688158.0,0.0640138408304498,1058.95853012109,807.0805042742201,53553.76775785327,60191.537244174375,56060.0,51928.462755825625,80.49910873440292,76.7052881758765,10.81081081081081,4981642.0,2546184600.0,62.14081,0.0,0.0,0.0,4.129402938962018,금,41.330991254,
2023-04-10,61700.0,62400.0,59700.0,60500.0,534574.0,-0.0162601626016259,1226.1720565290234,890.8988147251807,54189.46633722501,60853.65535465877,56355.0,51856.34464534123,82.85204991087352,79.64943553178857,9.601449275362327,4447068.0,-534574000.0,65.30739,0.0,0.0,0.0,4.066298420992079,월,22.23929408633333,
2023-04-11,60300.0,61200.0,59600.0,60600.0,300040.0,0.0016528925619834,1351.1835423867597,982.9557602574964,55010.519703502505,61340.57147057653,56725.0,52109.42852942347,85.49019607843145,82.94711824123597,5.759162303664911,4747108.0,30004000.0,44.68962,6967602.73578171,1741900.6839454274,4.0,18.81462272951815,화,95.631026518,
2023-04-12,61000.0,61500.0,59800.0,61200.0,292405.0,0.0099009900990099,1481.5921590287253,1082.6830400117424,55749.467733152254,61784.17018441876,57145.0,52505.82981558124,80.08479067302606,82.80901222077703,8.703374777975137,5039513.0,175443000.0,44.68963000000001,0.0,0.0,0.0,3.799741483653983,수,-96.265618702,
2023-04-13,61300.0,63700.0,61000.0,63100.0,776709.0,0.0310457516339868,1718.446862562705,1209.835804521935,56414.52095983703,62380.24330917654,57705.0,53029.75669082346,85.12613251096606,83.5670397541412,8.793103448275863,5816222.0,1475747100.0,53.268550000000005,43922726.73849344,10980681.68462336,4.0,20.83138822458413,목,366.903952248,
2023-04-14,63600.0,65900.0,62900.0,63100.0,735048.0,0.0,1884.4333469547053,1344.755313008489,57288.778444656586,63172.73124780705,58105.0,53037.26875219295,83.21059706601886,82.80717341667035,9.548611111111116,5816222.0,0.0,59.32781,864763.0364925875,108095.37956157344,8.0,16.537560194443333,금,445.625433094,
2023-04-17,64500.0,66200.0,63500.0,64100.0,580482.0,0.0158478605388272,2072.7767937352764,1490.3596091538466,58494.349462404665,64021.7880443432,58575.0,53128.2119556568,82.0739463966579,83.47022532454763,12.456140350877188,6396704.0,580482000.0,54.43416,0.0,0.0,0.0,4.402947457573542,월,304.344849192,
2023-04-18,64300.0,65800.0,62700.0,63000.0,404073.0,-0.017160686427457,2108.9686475521376,1614.0814168335048,59727.25354841992,64583.308895353126,58900.0,53216.69110464688,74.51473759884983,79.93309368717554,11.111111111111116,5992631.0,-444480300.0,67.23455,3199577.91965458,799894.479913645,4.0,18.444816397674245,화,126.534742129,
2023-04-19,62700.0,63400.0,61500.0,61800.0,290488.0,-0.019047619047619,2017.5637621089045,1694.7778858885847,60762.89298067273,64807.23568888151,59215.0,53622.764311118495,69.78193146417453,75.4568718198941,10.752688172043,5702143.0,-348585600.0,55.00921,470044.72358698415,117511.18089674604,4.0,16.32618343788722,수,99.956062103,
2023-04-20,61500.0,62000.0,59700.0,60300.0,499710.0,-0.0242718446601941,1803.2999485894688,1716.4822984287616,66200.0,64763.80770334548,59470.0,54176.19229665452,57.94392523364494,67.41353143222311,5.604203152364273,5202433.0,-749565000.0,51.37638,0.0,0.0,0.0,3.9391785337695087,목,37.292939695,
2023-04-21,59900.0,60300.0,58100.0,59000.0,363567.0,-0.0215588723051409,1511.175308953556,1675.4209005337204,66070.0,64760.56433059856,59555.0,54349.43566940144,45.27126315170759,57.66570661650904,4.240282685512375,4838866.0,-472637100.0,47.53372,0.0,0.0,0.0,3.861439353921356,금,193.324663738,
2023-04-24,59200.0,60700.0,58600.0,59900.0,237909.0,0.0152542372881356,1336.8762287948994,1607.7119661859565,65751.2,64722.29385538891,59735.0,54747.70614461109,37.978428260741865,47.06453888203148,3.633217993079585,5076775.0,214118100.0,44.65272,6516865.8099294575,814608.2262411822,2.6666666666666665,9.10114107145448,월,68.109679485,37.340972916
2023-04-25,59900.0,60200.0,58100.0,58500.0,252094.0,-0.023372287145242,1073.401151989172,1500.8498033465994,65445.152,64717.17661577636,59760.0,54802.82338422364,30.432564640111888,37.89408535085379,-4.878048780487809,4824681.0,-352931600.0,50.69642999999999,2680962.945839802,670240.7364599505,4.0,17.98564177641831,화,191.703017447,
2023-04-26,59000.0,62200.0,58600.0,61200.0,472518.0,0.0461538461538462,1070.1269333865202,1414.7052293545837,65151.34591999999,64831.38017332531,59940.0,55048.61982667469,33.694229112833845,34.035074004562546,1.1570247933884392,5297199.0,1275798600.0,50.45555,679210.9563687022,169802.73909217556,4.0,16.607879482194885,수,195.112526702,
2023-04-27,61200.0,61900.0,60600.0,61500.0,221506.0,0.0049019607843137,1079.2981076051074,1347.6238050046882,64869.2920832,64906.42383678152,60165.0,55423.57616321848,35.352665326825615,33.15981969325713,1.4851485148514865,5518705.0,66451800.0,50.52353,0.0,0.0,0.0,3.922439168358762,목,145.355562695,
2023-04-28,62100.0,63000.0,60500.0,61000.0,283354.0,-0.008130081300813,1034.2977670914042,1284.9585974220313,64598.520399872,64855.98033954574,60380.0,55904.01966045426,39.87941429801903,36.30876957922617,-0.3267973856209138,5235351.0,-141677000.0,49.36956,737629.4078684243,184407.35196710608,4.0,16.668630546436706,금,92.24873159500001,
2023-05-02,61000.0,64700.0,61000.0,64100.0,485632.0,0.0508196721311475,1234.5476682035587,1274.8764115783367,58100.0,65027.95405125074,60795.0,56562.04594874926,50.61728395061736,41.94978785848735,1.5847860538827252,5720983.0,1505459200.0,44.667280000000005,1653260.0284012214,413315.00710030535,2.0,10.895118128702805,화,514.3756670885,
2023-05-03,63700.0,66800.0,63500.0,66200.0,617903.0,0.032761310452418,1544.891064593954,1328.8793421814603,58232.0,65744.6635024215,61250.0,56755.33649757849,67.65999716191294,52.71889847018312,4.912836767036444,6338886.0,1297596300.0,42.24767,0.0,0.0,0.0,3.743549204353486,수,325.220905636,
