Date,Open,High,Low,Close,Volume,Change,MACD,Signal,PSAR,upper,middle,lower,SlowK,SlowD,ROC,OBV,FI
2023-04-17,106200,106800,103000,104800,273654,-0.006635071090047351,-3095.5454596162454,-4481.114401745634,88746.24,112293.32137370513,99635.0,86976.67862629487,80.8336687558699,65.18348098869508,11.370882040382568,35830962.0,-191557800.0
2023-04-18,106100,109100,101300,102700,564128,-0.020038167938931317,-2698.7830725958484,-4124.648135915677,89516.3904,110162.87694185294,99095.0,88027.12305814706,76.18190662714107,74.13737466309276,10.193133047210301,35266834.0,-1184668800.0
2023-04-19,102700,106000,101200,104500,314819,0.017526777020447915,-2213.5842443309084,-3742.4353575987234,90691.406976,108439.58846865442,98720.0,89000.41153134558,71.02992615623786,76.01516717974964,10.69915254237288,35581653.0,566674200.0
2023-04-20,104200,106800,101900,103000,318058,-0.014354066985645897,-1927.8748005981906,-3379.523246198617,91795.92255744,107651.96915330608,98510.0,89368.03084669392,65.28224700042405,70.83135992793434,7.180020811654519,35263595.0,-477087000.0
2023-04-21,103000,104300,98800,100500,269352,-0.024271844660194164,-1881.4884865557833,-3079.9162942700505,92834.16720399361,106470.51083418014,98175.0,89879.48916581986,60.328269600139684,65.54681425226723,4.469854469854462,34994243.0,-673380000.0
2023-04-24,100400,106100,100400,104600,295906,0.04079601990049753,-1496.6389415190642,-2763.2608237198533,93810.117171754,106927.00439519504,98850.0,90772.99560480496,60.01107726391581,61.873864621493205,6.734693877551012,35290149.0,1213214600.0
2023-04-25,104600,106700,102900,103300,281346,-0.0124282982791587,-1281.7666319715645,-2466.9619853701956,94727.51014144876,107315.4850133975,99300.0,91284.5149866025,60.32625179675858,60.22186622027138,5.840163934426235,35008803.0,-365749800.0
2023-04-26,103300,108800,103200,108300,441812,0.048402710551790795,-699.9519548962126,-2113.559979275399,95589.85953296183,108707.16113597581,99845.0,90982.83886402419,76.43312101910827,65.59015002659424,13.048016701461385,35450615.0,2209060000.0
2023-04-27,108300,109300,105900,106200,295182,-0.01939058171745156,-403.6589520035923,-1771.5797738210379,96400.46796098411,109312.84378740819,100450.0,91587.15621259181,79.18901553246172,71.98279611610955,9.034907597535934,35155433.0,-619882200.0
2023-04-28,107300,110000,106400,107200,258476,0.009416195856873921,-87.14837763470132,-1434.6934945837706,97432.43052410538,109821.21675429694,101150.0,92478.78324570306,85.6332196211797,80.41845205758325,12.605042016806722,35413909.0,258476000.0
2023-05-02,107300,113900,106800,112600,361912,0.050373134328358216,592.5923672712524,-1029.236322212766,98689.18747169484,111493.21790270956,102060.0,92626.78209729044,85.14318123305215,83.32180546223121,10.717797443461151,35775821.0,1954324800.0
2023-05-03,112600,116600,111200,112500,466539,-0.000888099467140302,1110.4223825990339,-601.304581250406,100514.48497509146,112929.39799191972,102880.0,92830.60200808028,85.46433364013622,85.41357816478937,6.635071090047395,35309282.0,-46653900.0
2023-05-04,113300,113700,106200,107300,378978,-0.046222222222222276,1088.6604586239264,-263.31157327553956,102766.45707857865,113168.50399393764,103435.0,93701.49600606236,73.91862426741817,81.50871304686886,2.385496183206115,34930304.0,-1970685600.0
2023-05-08,109300,110000,103800,104800,389863,-0.02329916123019571,859.7739317645464,-38.69447226752234,116600.0,113195.37685021145,103775.0,94354.62314978855,54.0097981788168,71.13091869545708,2.0447906523855863,34540441.0,-974657500.0
2023-05-09,105700,107200,102900,103400,300289,-0.013358778625954248,558.9679756010446,80.83801730619105,116344.0,113054.38818830292,104065.0,95075.61181169708,35.76779026217232,54.56540423613578,-1.0526315789473717,34240152.0,-420404600.0
2023-05-10,103400,107100,103400,105700,269870,0.022243713733075543,500.3995714774792,164.7503281404487,115806.24,112727.10475015473,104560.0,96392.89524984527,32.77153558052438,40.84970800717118,2.6213592233009786,34510022.0,620701000.0
2023-05-11,106100,110700,101000,107800,658013,0.019867549668874274,616.3314534720994,255.06655320677885,115289.99040000001,112660.659601908,105080.0,97499.340398092,38.38951310861427,35.64294631710367,7.263681592039806,35168035.0,1381827300.0
2023-05-12,109000,110400,104800,106400,401751,-0.012987012987012991,588.4566435992601,321.74457128527513,114432.590976,111725.85244645317,105640.0,99554.14755354683,44.007490636704155,38.389513108614274,1.7208413001912115,34766284.0,-562451400.0
2023-05-15,106200,106700,101600,102500,393503,-0.03665413533834583,248.80023536726367,307.1557041016728,113626.63551744001,111671.52735118517,105680.0,99688.47264881483,35.4071299764184,39.268044573912285,-0.7744433688286589,34372781.0,-1534661700.0
2023-05-16,103200,110400,102000,109200,925106,0.06536585365853664,514.3252689704968,348.5896170754376,112869.03738639361,112048.29200345576,105865.0,99681.70799654424,36.07456491351626,38.496395175546276,0.8310249307479145,35297887.0,6198210200.0
